2023-08-13 12:31:37.417429 - Starting learning loop ...
==================================================================
2023-08-13 12:31:37.417429 - Using Framebuffer of: 1 frames	 and 	ReplayBufferSize: 100000
2023-08-13 13:14:50.917573 - Epoc #	1210	 21.90781807899475
2023-08-13 13:15:12.818295 - Epoc #	1220	 21.90072202682495
2023-08-13 13:15:36.726983 - Epoc #	1230	 23.908688068389893
2023-08-13 13:15:58.289540 - Epoc #	1240	 21.562556982040405
2023-08-13 13:16:19.907982 - Epoc #	1250	 21.618442058563232
2023-08-13 13:16:40.549623 - Epoc #	1260	 20.64164090156555
2023-08-13 13:17:02.140563 - Epoc #	1270	 21.59093999862671
2023-08-13 13:17:23.066811 - Epoc #	1280	 20.92624807357788
2023-08-13 13:17:44.264298 - Epoc #	1290	 21.197486877441406
2023-08-13 13:18:06.683431 - Epoc #	1300	 22.419132947921753
2023-08-13 13:18:28.515719 - Epoc #	1310	 21.832288026809692
2023-08-13 13:18:50.851271 - Epoc #	1320	 22.335551977157593
2023-08-13 13:19:11.713310 - Epoc #	1330	 20.86203908920288
2023-08-13 13:19:32.700052 - Epoc #	1340	 20.98674201965332
2023-08-13 13:19:55.960195 - Epoc #	1350	 23.260143041610718
2023-08-13 13:20:16.672885 - Epoc #	1360	 20.712689876556396
2023-08-13 13:20:38.185732 - Epoc #	1370	 21.51284694671631
2023-08-13 13:21:01.738369 - Epoc #	1380	 23.552637100219727
2023-08-13 13:21:22.406131 - Epoc #	1390	 20.66776204109192
2023-08-13 13:21:43.759940 - Epoc #	1400	 21.353808879852295
2023-08-13 13:22:04.391361 - Epoc #	1410	 20.631421089172363
2023-08-13 13:22:24.993078 - Epoc #	1420	 20.601716995239258
2023-08-13 13:22:46.369267 - Epoc #	1430	 21.37618899345398
2023-08-13 13:23:08.783478 - Epoc #	1440	 22.41421103477478
2023-08-13 13:23:29.085688 - Epoc #	1450	 20.302210092544556
2023-08-13 13:23:51.402017 - Epoc #	1460	 22.31632900238037
2023-08-13 13:24:13.694593 - Epoc #	1470	 22.29257583618164
2023-08-13 13:24:35.065875 - Epoc #	1480	 21.37128210067749
2023-08-13 13:24:59.259755 - Epoc #	1490	 24.19387984275818
2023-08-13 13:25:20.503999 - Epoc #	1500	 21.24424409866333
2023-08-13 13:25:37.304964 - Time between reward step: #	3239.887535095215
2023-08-13 13:25:37.304964 - Average Score: 17.00 Elapsed time: 0:54:02.175001
2023-08-13 13:25:43.834924 - Epoc #	1510	 23.33092498779297
2023-08-13 13:26:05.996979 - Epoc #	1520	 22.162055015563965
2023-08-13 13:26:26.618918 - Epoc #	1530	 20.621938943862915
2023-08-13 13:26:49.531815 - Epoc #	1540	 22.91289710998535
2023-08-13 13:27:10.702603 - Epoc #	1550	 21.170788049697876
2023-08-13 13:27:33.202348 - Epoc #	1560	 22.49974489212036
2023-08-13 13:27:55.634674 - Epoc #	1570	 22.432326078414917
2023-08-13 13:28:17.184777 - Epoc #	1580	 21.550102949142456
2023-08-13 13:28:41.107394 - Epoc #	1590	 23.922616958618164
2023-08-13 13:29:02.834983 - Epoc #	1600	 21.72758913040161
2023-08-13 13:29:24.333552 - Epoc #	1610	 21.498568773269653
2023-08-13 13:29:45.566956 - Epoc #	1620	 21.2334041595459
2023-08-13 13:30:07.958487 - Epoc #	1630	 22.391530990600586
2023-08-13 13:30:28.821524 - Epoc #	1640	 20.86303687095642
2023-08-13 13:30:50.705267 - Epoc #	1650	 21.883743047714233
2023-08-13 13:31:12.389443 - Epoc #	1660	 21.684175968170166
2023-08-13 13:31:33.990509 - Epoc #	1670	 21.60106611251831
2023-08-13 13:31:56.432204 - Epoc #	1680	 22.441694974899292
2023-08-13 13:32:17.751562 - Epoc #	1690	 21.319358110427856
2023-08-13 13:32:40.478091 - Epoc #	1700	 22.726528882980347
2023-08-13 13:33:03.843796 - Epoc #	1710	 23.365705013275146
2023-08-13 13:33:25.224483 - Epoc #	1720	 21.38068699836731
2023-08-13 13:33:47.382133 - Epoc #	1730	 22.157649993896484
2023-08-13 13:34:08.484157 - Epoc #	1740	 21.10202407836914
2023-08-13 13:34:30.417729 - Epoc #	1750	 21.933571815490723
2023-08-13 13:34:53.204505 - Epoc #	1760	 22.786776065826416
2023-08-13 13:35:15.263753 - Epoc #	1770	 22.059247970581055
2023-08-13 13:35:36.819516 - Epoc #	1780	 21.555763006210327
2023-08-13 13:35:59.994807 - Epoc #	1790	 23.175291061401367
2023-08-13 13:36:22.265854 - Epoc #	1800	 22.27104687690735
2023-08-13 13:36:44.301112 - Epoc #	1810	 22.035258054733276
2023-08-13 13:37:06.391019 - Epoc #	1820	 22.08990716934204
2023-08-13 13:37:26.619679 - Epoc #	1830	 20.228659868240356
2023-08-13 13:37:48.800486 - Epoc #	1840	 22.18080711364746
2023-08-13 13:38:11.216644 - Epoc #	1850	 22.416157960891724
2023-08-13 13:38:32.710849 - Epoc #	1860	 21.494204998016357
2023-08-13 13:38:53.996692 - Epoc #	1870	 21.285842895507812
2023-08-13 13:39:05.322383 - Time between reward step: #	4047.904953956604
2023-08-13 13:39:05.322383 - Average Score: 18.00 Elapsed time: 1:07:30.200237
2023-08-13 13:39:16.152724 - Epoc #	1880	 22.1560320854187
2023-08-13 13:39:38.432969 - Epoc #	1890	 22.280245065689087
2023-08-13 13:40:00.632192 - Epoc #	1900	 22.199222803115845
2023-08-13 13:40:22.374507 - Epoc #	1910	 21.74231505393982
2023-08-13 13:40:44.363774 - Epoc #	1920	 21.989267110824585
2023-08-13 13:41:04.679390 - Epoc #	1930	 20.31561589241028
2023-08-13 13:41:26.133541 - Epoc #	1940	 21.454151153564453
2023-08-13 13:41:49.075078 - Epoc #	1950	 22.941536903381348
2023-08-13 13:42:10.249920 - Epoc #	1960	 21.17484188079834
2023-08-13 13:42:33.058973 - Epoc #	1970	 22.80905318260193
2023-08-13 13:42:55.349357 - Epoc #	1980	 22.29038381576538
2023-08-13 13:43:18.952071 - Epoc #	1990	 23.60271406173706
2023-08-13 13:43:41.920211 - Epoc #	2000	 22.968140125274658
2023-08-13 13:44:01.820532 - Time between reward step: #	4344.403103113174
2023-08-13 13:44:01.820532 - Average Score: 19.00 Elapsed time: 1:12:26.700540
2023-08-13 13:44:04.101779 - Epoc #	2010	 22.181567907333374
2023-08-13 13:44:06.554829 - Time between reward step: #	4349.1373999118805
2023-08-13 13:44:06.554829 - Average Score: 20.00 Elapsed time: 1:12:31.430641
2023-08-13 13:44:25.710148 - Epoc #	2020	 21.60836911201477
2023-08-13 13:44:33.524094 - Time between reward step: #	4376.10666513443
