2023-07-12 00:21:38.310010 - Starting learning loop ...
==================================================================
2023-07-12 00:21:38.310010 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 01:02:12.098536 - Epoc #	1140	 22.1993350982666
2023-07-12 01:02:33.659966 - Epoc #	1150	 21.561429977416992
2023-07-12 01:02:54.676170 - Epoc #	1160	 21.016204118728638
2023-07-12 01:03:15.917339 - Epoc #	1170	 21.241168975830078
2023-07-12 01:03:36.766717 - Epoc #	1180	 20.849377870559692
2023-07-12 01:03:57.966500 - Epoc #	1190	 21.199783086776733
2023-07-12 01:04:20.633236 - Epoc #	1200	 22.666735887527466
2023-07-12 01:04:41.476662 - Epoc #	1210	 20.843425989151
2023-07-12 01:05:02.705979 - Epoc #	1220	 21.22931718826294
2023-07-12 01:05:22.870517 - Epoc #	1230	 20.16453790664673
2023-07-12 01:05:44.313503 - Epoc #	1240	 21.442986011505127
2023-07-12 01:06:04.481202 - Epoc #	1250	 20.167698860168457
2023-07-12 01:06:25.015070 - Epoc #	1260	 20.533868074417114
2023-07-12 01:06:44.967010 - Epoc #	1270	 19.951940059661865
2023-07-12 01:07:05.462119 - Epoc #	1280	 20.49510908126831
2023-07-12 01:07:26.410967 - Epoc #	1290	 20.948848009109497
2023-07-12 01:07:47.832712 - Epoc #	1300	 21.42174482345581
2023-07-12 01:08:08.246701 - Epoc #	1310	 20.413989067077637
2023-07-12 01:08:29.531380 - Epoc #	1320	 21.28467893600464
2023-07-12 01:08:49.944849 - Epoc #	1330	 20.413469076156616
2023-07-12 01:09:11.952977 - Epoc #	1340	 22.00812792778015
2023-07-12 01:09:32.504064 - Epoc #	1350	 20.551087141036987
2023-07-12 01:09:54.105785 - Epoc #	1360	 21.601720809936523
2023-07-12 01:10:14.743598 - Epoc #	1370	 20.637813091278076
2023-07-12 01:10:36.148360 - Epoc #	1380	 21.404762029647827
2023-07-12 01:10:58.355973 - Epoc #	1390	 22.207612991333008
2023-07-12 01:11:20.269313 - Epoc #	1400	 21.913340091705322
2023-07-12 01:11:41.382955 - Epoc #	1410	 21.11364197731018
2023-07-12 01:12:03.049642 - Epoc #	1420	 21.66668701171875
2023-07-12 01:12:25.472853 - Epoc #	1430	 22.423210859298706
2023-07-12 01:12:46.215628 - Epoc #	1440	 20.742774963378906
2023-07-12 01:13:06.715833 - Epoc #	1450	 20.500205039978027
2023-07-12 01:13:28.090903 - Epoc #	1460	 21.375070095062256
2023-07-12 01:13:50.455313 - Epoc #	1470	 22.364409923553467
