2023-07-12 16:47:02.431850 - Starting learning loop ...
==================================================================
2023-07-12 16:47:02.431850 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 16:47:02.431850 - Loglevel is set to: a
2023-07-12 17:20:01.740362 - Epoc #	2160	 8.703125953674316
2023-07-12 17:20:10.881886 - Epoc #	2170	 9.141524076461792
2023-07-12 17:20:19.930445 - Epoc #	2180	 9.048558950424194
2023-07-12 17:20:29.461617 - Epoc #	2190	 9.531172037124634
2023-07-12 17:20:38.972441 - Epoc #	2200	 9.510823965072632
2023-07-12 17:20:48.441811 - Epoc #	2210	 9.469370126724243
2023-07-12 17:20:57.457815 - Epoc #	2220	 9.016003847122192
2023-07-12 17:21:07.148443 - Epoc #	2230	 9.690628051757812
2023-07-12 17:21:16.715468 - Epoc #	2240	 9.567024946212769
2023-07-12 17:21:26.031335 - Epoc #	2250	 9.315867185592651
2023-07-12 17:21:35.219109 - Epoc #	2260	 9.187773942947388
2023-07-12 17:21:44.285569 - Epoc #	2270	 9.066459894180298
2023-07-12 17:21:53.539015 - Epoc #	2280	 9.253446102142334
2023-07-12 17:22:02.573501 - Epoc #	2290	 9.034486055374146
2023-07-12 17:22:11.455068 - Epoc #	2300	 8.881567001342773
2023-07-12 17:22:20.930170 - Epoc #	2310	 9.475101947784424
2023-07-12 17:22:30.169858 - Epoc #	2320	 9.2396879196167
2023-07-12 17:22:39.502147 - Epoc #	2330	 9.332288980484009
2023-07-12 17:22:49.060462 - Epoc #	2340	 9.55831503868103
2023-07-12 17:22:58.253740 - Epoc #	2350	 9.193278074264526
2023-07-12 17:23:07.440839 - Epoc #	2360	 9.187098979949951
2023-07-12 17:23:16.937895 - Epoc #	2370	 9.497056007385254
2023-07-12 17:23:26.224871 - Epoc #	2380	 9.286975860595703
2023-07-12 17:23:36.083867 - Epoc #	2390	 9.858996152877808
2023-07-12 17:23:45.638290 - Epoc #	2400	 9.554422855377197
2023-07-12 17:23:54.721879 - Epoc #	2410	 9.08358907699585
2023-07-12 17:24:04.495293 - Epoc #	2420	 9.773413896560669
2023-07-12 17:24:13.749477 - Epoc #	2430	 9.254184007644653
2023-07-12 17:24:22.958783 - Epoc #	2440	 9.209306001663208
2023-07-12 17:24:32.285039 - Epoc #	2450	 9.326256036758423
2023-07-12 17:24:42.350197 - Epoc #	2460	 10.065158128738403
2023-07-12 17:24:51.478474 - Epoc #	2470	 9.128276824951172
2023-07-12 17:25:00.729866 - Epoc #	2480	 9.251392126083374
2023-07-12 17:25:10.059328 - Epoc #	2490	 9.329462051391602
2023-07-12 17:25:19.395833 - Epoc #	2500	 9.336504936218262
2023-07-12 17:25:28.660002 - Epoc #	2510	 9.264168977737427
2023-07-12 17:25:37.873678 - Epoc #	2520	 9.21367597579956
